VALIDACIONES PRESENCIALES NORMALIZADAS A 24H
Fuente: DOCX/CSV locales procesados por FincaDiag.
Nota: este archivo es canónico para revisión humana; el motor ya normaliza internamente estas horas.

## 2026-04-06 PM
Ventana de ordeño: 13:06 - 14:08
Vacas registradas: 19
## 2026-05-04 PM
Ventana de ordeño: 13:15 - 14:25
Vacas registradas: 5
Vaca 460 | entrada  | tag  | salida 14:17 | rfid si | flujo si | doc validacion_visita_04_05_2026.docx
Vaca 531 | entrada  | tag  | salida 14:20 | rfid si | flujo si | doc validacion_visita_04_05_2026.docx
Vaca 634 | entrada  | tag  | salida 14:13 | rfid si | flujo dudoso | doc validacion_visita_04_05_2026.docx
Vaca 762 | entrada  | tag  | salida 14:17 | rfid si | flujo si | doc validacion_visita_04_05_2026.docx
Vaca 688 | entrada 14:13 | tag 14:13 | salida 14:25 | rfid si | flujo si | doc validacion_visita_04_05_2026.docx

## 2026-05-06 PM
Ventana de ordeño: 13:00 - 14:17
Vacas registradas: 28
Vaca 474 | entrada  | tag  | salida 13:13 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 559 | entrada  | tag  | salida 13:18 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 664 | entrada  | tag  | salida 13:14 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 728 | entrada  | tag  | salida 13:13 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 748 | entrada  | tag  | salida 13:19 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 752 | entrada  | tag  | salida 13:18 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 741 | entrada 13:17 | tag 13:17 | salida 13:26 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 756 | entrada 13:17 | tag 13:17 | salida 13:26 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 778 | entrada 13:17 | tag 13:17 | salida 13:26 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 424 | entrada 13:23 | tag 13:23 | salida 13:31 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 696 | entrada 13:23 | tag 13:23 | salida 13:32 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 747 | entrada 13:23 | tag 13:23 | salida 13:31 | rfid si | flujo dudoso | doc validacion_visita_06_05_2026.docx
Vaca 573 | entrada 13:28 | tag 13:28 | salida 13:40 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 757 | entrada 13:28 | tag 13:28 | salida 13:40 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 777 | entrada 13:30 | tag 13:30 | salida 13:40 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 446 | entrada 13:34 | tag 13:34 | salida 13:47 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 432 | entrada 13:35 | tag 13:35 | salida 13:47 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 498 | entrada 13:35 | tag 13:35 | salida 13:47 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 497 | entrada 13:45 | tag 13:45 | salida 13:57 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 538 | entrada 13:46 | tag 13:46 | salida 13:56 | rfid si | flujo dudoso | doc validacion_visita_06_05_2026.docx
Vaca 746 | entrada 13:47 | tag 13:47 | salida 13:56 | rfid si | flujo dudoso | doc validacion_visita_06_05_2026.docx
Vaca 460 | entrada 13:53 | tag 13:53 | salida 14:03 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 634 | entrada 13:53 | tag 13:54 | salida 14:11 | rfid si | flujo dudoso | doc validacion_visita_06_05_2026.docx
Vaca 514 | entrada 13:55 | tag 13:55 | salida 14:11 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 531 | entrada 14:02 | tag 14:02 | salida 14:17 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
